ID,Character,English,English_IPA,Anzellan,Anzellan_IPA,Mixed_25,Mixed_25_IPA,Mixed_50,Mixed_50_IPA,Mixed_75,Mixed_75_IPA
jibu_fan_cold_1,Jibu,Don't worry. Cold go away!,dont wei̯. kold ɡo ˈawei̯!,Nie ba nie godi. Ika ba mi wabad!,nie̯ ba nie̯ ˈɡodi. ˈika ba mi ˈwabad!,Nie ba banada-no! Cold go!,nie̯ ba baˈnadano! kold ɡo!,Nie pilaxi. Cold go!,nie̯ ˈpilaʃi. kold ɡo!,Nie ba no worry cold go away!,nie̯ ba no wei̯ kold ɡo ˈawei̯!
jibu_rips_droid_eye,Jibu,No wipe! No wipe!,no ˈwaip! no ˈwaip!,Nie dopo! Nie dopo!,nie̯ ˈdopo! nie̯ ˈdopo!,Nie dopo! No wipe!,nie̯ ˈdopo! no ˈwaip!,Nie dopo! No wipe!,nie̯ ˈdopo! no ˈwaip!,Nie no wipe!,nie̯ no ˈwaip!
jibu_smack_droid_face,Jibu,Be fixie already!,bi ˈfiksie̯ ˈolwedi!,Ba moga bano!,ba ˈmoɡa ˈbano!,Ba moga fixie!,ba ˈmoɡa ˈfiksie̯!,Ba moga fixie!,ba ˈmoɡa ˈfiksie̯!,Ba moga fixie already!,ba ˈmoɡa ˈfiksie̯ ˈolwedi!
jibu_sparky_spark,Jibu,Sparky! Spark spark-spark!,ˈspaki! spak ˈspawkspawk!,Bede! Bebe bede-bede!,ˈbede! ˈbebe beˈdebede!,Ga spark spark spark!,ɡa spak spak spak!,Bede! Spark spark-spark!,ˈbede! spak ˈspawkspawk!,Ipama! Spark spark-spark!,ˈipama! spak ˈspakspak!
jibu_no_rush,Jibu,No rush!,no waʃ!,Nie haba!,nie̯ ˈhaba!,Nie ba haba no rush!,nie̯ ba ˈhaba no waʃ!,Nie hurry!,nie̯ hei̯!,Nie ba hurry!,nie̯ ba hei̯!
jibu_adjusts_coupling,Jibu,Messy. Messy messy.,ˈmesi. ˈmesi ˈmesi.,Koko. Koko koko.,ˈkoko. ˈkoko ˈkoko.,bana-nie. messy messy.,ˈbananie̯. ˈmesi ˈmesi.,Da wawa boken! Messy messy!,da ˈwawa ˈboken! ˈmesi ˈmesi!,Bana-nie. Messy messy!,ˈbananie̯. ˈmesi ˈmesi!
jibu_smacks_the_droid,Jibu,Stop talking!,stap ˈtokin!,Nie ba la!,nie̯ ba la!,Nie ba la stop!,nie̯ ba la stap!,Nie stop!,nie̯ stap!,Nie ba la! stop talk!,nie̯ ba la! stap tok!
jibu_smacks_droid_quiet,Jibu,Quiet!,ˈkwaiat!,Ba tumunie!,ba ˈtumunie̯!,Tumunie! Quiet!,ˈtumunie̯! ˈkwaiat!,Ba tumunie! Quiet!,ba ˈtumunie̯! ˈkwaiat!,Ba tumunie! Quiet!,ba ˈtumunie̯! ˈkwaiat!
jibu_no_talk,Jibu,No talk!,no tok!,Nie ba pena!,nie̯ ba ˈpena!,Nie ba la! talk!,nie̯ ba la! tok!,No nie ba la!,no nie̯ ba la!,Nie ba la no talk!,nie̯ ba la no tok!
jibu_data_storage_panel,Jibu,The panel's no good!,da ˈpanals no ɡud!,Nie da napa ixena!,nie̯ da ˈnapa ˈiʃena!,Nie da napa broken!,nie̯ da ˈnapa ˈbwokan!,Napa no good! Nie ixena.,ˈnapa no ɡud! nie̯ ˈiʃena.,Nie da panel no good!,nie̯ da ˈpanal no ɡud!
jibu_broken_display_reaction,Jibu,Uh ohhhhhh.,a ohhhhhh.,a-o,ˈao,A-o uh ohhh,ˈao a ohhh,A-o uh,ˈao a,a-o uh oh,ˈao a o
jibu_sad_display_1,Jibu,Picture gone. All gone gone.,ˈpiktʃe ɡon. ol ɡon ɡon.,Pikta tumunie. Tu-tumunie.,ˈpikta ˈtumunie̯. tuˈtumunie̯.,Pikta tumunie. All gone.,ˈpikta ˈtumunie̯. ol ɡon.,Pikta tumunie! All gone!,ˈpikta ˈtumunie̯! ol ɡon!,Pikta all gone gone,ˈpikta ol ɡon ɡon
jibu_mubo_dangerous,Jibu,Sounds dangerous...,ˈsaunds ˈdei̯ndʒeas...,Hena ipo-va kitepe.,ˈhena ˈipova ˈkitepe.,Hena kitepe danger!,ˈhena ˈkitepe ˈdei̯ndʒe!,Kitepe! Danger!,ˈkitepe! ˈdei̯ndʒe!,Hena kitepe dangerous!,ˈhena ˈkitepe ˈdei̯ndʒeas!
jibu_display_fixed,Jibu,Much better!,matʃ ˈbete!,Ixenudu!,iˈʃenudu!,Ixenudu better!,iˈʃenudu ˈbete!,Much ixenudu!,matʃ iˈʃenudu!,Ixenudu good job!,iˈʃenudu ɡud dʒab!
jibu_droid_no_like,Jibu,No like!,no ˈlaik!,Nie pilaxi!,nie̯ ˈpilaʃi!,Nie pilaxi no!,nie̯ ˈpilaʃi no!,Nie like!,nie̯ ˈlaik!,Nie no like!,nie̯ no ˈlaik!
jibu_waves_arms_droid,Jibu,Stop!,stap!,Nie ba bani!,nie̯ ba ˈbani!,Nie ba stop!,nie̯ ba stap!,Bani! Stop!,ˈbani! stap!,Nie ba! Stop!,nie̯ ba! stap!
jibu_droid_startled,Jibu,It's alive!,its ˈalaiv!,Ipo ixena!,ˈipo ˈiʃena!,Ipo ixena! Alive!,ˈipo ˈiʃena! ˈalaiv!,Ipo alive!,ˈipo ˈalaiv!,Ohhuuo! It live!,ohˈhuuo! it ˈlaiv!
jibu_droid_alive,Jibu,Uh... that shouldn't be possible.,a... dat ˈʃudant bi ˈpasabal.,Uh…ked nie ba ketaxi.,ˈuh…ked nie̯ ba ˈketaʃi.,Ked nie ketaxi! No possible.,ked nie̯ ˈketaʃi! no ˈpasabal.,Uh…ked nie ba ketaxi possible,ˈuh…ked nie̯ ba ˈketaʃi ˈpasabal,Wuhoh! That not possible,ˈwuhoh! dat nat ˈpasabal
jibu_swivels_droid,Jibu,That's gonna be a problem.,dats ˈɡana bi a ˈpwablam.,Ked-bo ka pobem.,ˈkedbo ka ˈpobem.,Ga ka pobem! Problem!,ɡa ka ˈpobem! ˈpwablam!,Ga-bo problem!,ˈɡabo ˈpwablam!,Pudu! Problem coming!,ˈpudu! ˈpwablam ˈkamin!
jibu_droid_big_problem,Jibu,Uh oh! Big problem!,a o! biɡ ˈpwablam!,a-o! big ni pobem,ˈao! biɡ ni ˈpobem,A-o! Ka pobem problem!,ˈao! ka ˈpobem ˈpwablam!,Big pobem! Nie tumunie!,biɡ ˈpobem! nie̯ ˈtumunie̯!,Apua! big problem!,ˈapua! biɡ ˈpwablam!
jibu_droid_that_was_close,Jibu,That was close.,dat was klos.,No ked-ba kitepe.,no ˈkedba ˈkitepe.,Ked-ba close!,ˈkedba klos!,Ked-ba no close!,ˈkedba no klos!,Ked-ba close!,ˈkedba klos!
jibu_temp_apology_1,Jibu,Sorry sorry! I think something is wrong with the fan.,ˈsawi ˈsawi! ˈai tink ˈsamtin is won wid da fan.,Kikamie kikamie! Banada mi ket bok tumu a ta tomig,ˈkikamie̯ ˈkikamie̯! ˈbanada mi ket bok ˈtumu a ta ˈtomiɡ,Kikamie kikamie! Li ga-mi fan broken!,ˈkikamie̯ ˈkikamie̯! li ˈɡami fan ˈbwokan!,"Kikamie, kikamie! Fan broken!","ˈkikamie̯, ˈkikamie̯! fan ˈbwokan!",Kikamie kikamie! Fan is broken! Need fix now!,ˈkikamie̯ ˈkikamie̯! fan is ˈbwokan! nid fiks ˈnau!
jibu_temp_apology_2,Jibu,My fault! The fan must be acting up.,ˈmai folt! da fan mast bi ˈaktin ap.,Vado! Ked-ta tomig ga-mi nixo?,ˈvado! ˈkedta ˈtomiɡ ˈɡami ˈniʃo?,"Vado! Ga-mi ta tomig, acting up!","ˈvado! ˈɡami ta ˈtomiɡ, ˈaktin ap!",Vado! Fan must acting up!,ˈvado! fan mast ˈaktin ap!,"Vado mi! Fan acting up, must be.","ˈvado mi! fan ˈaktin ap, mast bi."
jibu_temp_apology_3,Jibu,"I know, I know! It's the fan. My fault.","ˈai no, ˈai no! its da fan. ˈmai folt.","Banada mi, banada mi! Da tomig. Mi vado.","ˈbanada mi, ˈbanada mi! da ˈtomiɡ. mi ˈvado.","Banada mi, banada mi! Fan broken! Nie mi vado!","ˈbanada mi, ˈbanada mi! fan ˈbwokan! nie̯ mi ˈvado!","Banada mi, banada mi! Fan broken! My fault.","ˈbanada mi, ˈbanada mi! fan ˈbwokan! ˈmai folt.",Banada mi! Fan broken! My fault!,ˈbanada mi! fan ˈbwokan! ˈmai folt!
jibu_how_long_breakl,Jibu,How long until our break?,ˈhau lon ˈantil ˈaue bwei̯k?,Li ba-bo nad vado a meded?,li ˈbabo nad ˈvado a ˈmeded?,Be-ta niopo break!,ˈbeta ˈniopo bwei̯k!,Li tibana break now?,li ˈtibana bwei̯k ˈnau?,Be-na when is our break?,ˈbena wen is ˈaue bwei̯k?
jibu_jedi_came_here,Jibu,I heard a Jedi came here!,ˈai hed a ˈdʒedai kei̯m ˈhii!,Hena-no mi ked-ba ka Jedi ga-no ba,ˈhenano mi ˈkedba ka ˈdʒedi ˈɡano ba,Hena-no mi ked-ba Jedi come!,ˈhenano mi ˈkedba ˈdʒedai kam!,Hena-no mi Jedi come here!,ˈhenano mi ˈdʒedai kam ˈhii!,Hena-no mi Jedi come here!,ˈhenano mi ˈdʒedai kam ˈhii!
jibu_jedi_black_spire,Jibu,I heard a Jedi is here in Black Spire!,ˈai hed a ˈdʒedai is ˈhii in blak spaˈiai!,Hena-no mi ked ka Jedi a Da Black Spire!,ˈhenano mi ked ka ˈdʒedi a da blak spaˈiai!,Hena-no mi ked-ka Jedi a Black Spire here!,ˈhenano mi ˈkedka ˈdʒedai a blak spaˈiai ˈhii!,Ked ka Jedi! I heard here!,ked ka ˈdʒedai! ˈai hed ˈhii!,Hena-no mi Jedi is here Black Spire!,ˈhenano mi ˈdʒedai is ˈhii blak spaˈiai!
jibu_too_dim,Jibu,It's too dim in here.,its tu dim in ˈhii.,Ket te-tepe.,ket ˈtetepe.,Ket te-tepe dark,ket ˈtetepe dak,Ket tetepe! Too dim!,ket ˈtetepe! tu dim!,Ket too dark in here,ket tu dak in ˈhii
jibu_lights_wrong,Jibu,What wrong with lights?,wat won wid ˈlaits?,Li bok-no da mede?,li ˈbokno da ˈmede?,Beda boken! What?,ˈbeda ˈboken! wat?,Li bok boken!,li bok ˈboken!,Li bok-no lights wrong?,li ˈbokno ˈlaits won?
jibu_too_bright,Jibu,It's too bright in here.,its tu ˈbwait in ˈhii.,Ked be-bede.,ked ˈbebede.,Ked be-bede bright!,ked ˈbebede ˈbwait!,Ked be-bede! Too bright!,ked ˈbebede! tu ˈbwait!,Ked too bright in here,ked tu ˈbwait in ˈhii
jibu_lights_bright,Jibu,Lights all bright-bright!,ˈlaits ol bwaˈitbwait!,Da meded be-bede be-bede!,da ˈmeded ˈbebede ˈbebede!,Be-bede lights!,ˈbebede ˈlaits!,Ked be-bede! Lights bright!,ked ˈbebede! ˈlaits ˈbwait!,Bebede lights bright!,ˈbebede ˈlaits ˈbwait!
jibu_lights_flickering_dialogue,Jibu,The lights are flickering!,da ˈlaits ˈaa ˈflikei̯n!,Nixetu da meded!,ˈniʃetu da ˈmeded!,Da meded flickering!,da ˈmeded ˈflikei̯n!,Da meded flicker!,da ˈmeded ˈflike!,Nixetu panel flicker!,ˈniʃetu ˈpanal ˈflike!
jibu_gauge_low,Jibu,Kado! The gauge!,ˈkado! da ɡei̯dʒ!,Kado! Ta tixabe!,ˈkado! ta ˈtiʃabe!,Kado! Ta gauge!,ˈkado! ta ɡei̯dʒ!,Kado! ta gauge!,ˈkado! ta ɡei̯dʒ!,Kado! gauge broken!,ˈkado! ɡei̯dʒ ˈbwokan!
jibu_gauge_full,Jibu,Power all filled!,ˈpaue ol fild!,Ipamad tumu!,ˈipamad ˈtumu!,Ipama-d filled!,ˈipamad fild!,Ipama-no power filled!,iˈpamano ˈpaue fild!,Ipamad power filled!,ˈipamad ˈpaue fild!
jibu_repaired_switchboard_1,Jibu,All better!,ol ˈbete!,Mogaxi!,ˈmoɡaʃi!,Mogaxi! all good,ˈmoɡaʃi! ol ɡud,Mogaxi! Better!,ˈmoɡaʃi! ˈbete!,Mogaxi! all better!,ˈmoɡaʃi! ol ˈbete!
jibu_anything_else_you_need,Jibu,Is there anything else you need?,is ˈdee ˈenitin els ˈiu nid?,Li gapa-mo e ud ga?,li ˈɡapamo e ud ɡa?,Li miga ba ud need more?,li ˈmiɡa ba ud nid ˈmoo?,Li gami ipo Need more?,li ˈɡami ˈipo nid ˈmoo?,Li ni gami-mi you need more?,li ni ˈɡamimi ˈiu nid ˈmoo?
jibu_broken_reaction,Jibu,It's no good! It's no good!,its no ɡud! its no ɡud!,Nie ixena! Nie ixena!,nie̯ ˈiʃena! nie̯ ˈiʃena!,Nie ixena! panel broken!,nie̯ ˈiʃena! ˈpanal ˈbwokan!,Nie ixena! No good!,nie̯ ˈiʃena! no ɡud!,Nie ixena! panel broken!,nie̯ ˈiʃena! ˈpanal ˈbwokan!
jibu_whoops,Jibu,Whoops.,wups.,Apoa,ˈapoa,Apoa! Whoops.,ˈapoa! wups.,Apoa! Whoops.,ˈapoa! wups.,Apoa! whoops,ˈapoa! wups
jibu_bad_idea_no,Jibu,No no! Bad idea!,no no! bad aˈidia!,Nie nie! Bana bad!,nie̯ nie̯! ˈbana bad!,Nie nie! Bad idea!,nie̯ nie̯! bad aˈidia!,Nie nie! Bad idea!,nie̯ nie̯! bad aˈidia!,Nie nie! Bad idea!,nie̯ nie̯! bad aˈidia!
jibu_response_on_it,Jibu,On it!,an it!,Ga-mo mi ipo!,ˈɡamo mi ˈipo!,Ga-mo mi on!,ˈɡamo mi an!,Ga-mo mi On!,ˈɡamo mi an!,Ga-mo on it!,ˈɡamo an it!
jibu_yes_to_vilo,Jibu,Yes!,ie̯s!,nad,nad,Nad. Yes!,nad. ie̯s!,Nad! Yes!,nad! ie̯s!,Na-nad! Yes!,ˈnanad! ie̯s!
jibu_response_sorry,Jibu,Sorry sorry!,ˈsawi ˈsawi!,kikamie kikamie,ˈkikamie̯ ˈkikamie̯,"Kikamie, sorry!","ˈkikamie̯, ˈsawi!",Kikamie sorry!,ˈkikamie̯ ˈsawi!,kikamie sorry sorry!,ˈkikamie̯ ˈsawi ˈsawi!
jibu_refuses,Jibu,No thanks!,no tanks!,Nie dega-mi-e!,nie̯ deˈɡamie!,Nie dega-mi-e no,nie̯ deˈɡamie no,Nie thanks!,nie̯ tanks!,Nie no thanks!,nie̯ no tanks!
jibu_thats_not_nice,Jibu,"That's not very nice, Kado!","dats nat ˈvewi ˈnais, ˈkado!","Nie ked-ba ixenudu, Kado!","nie̯ ˈkedba iˈʃenudu, ˈkado!",Nie ked-po bana not nice!,nie̯ ˈkedpo ˈbana nat ˈnais!,Nie ixena! Not nice!,nie̯ ˈiʃena! nat ˈnais!,"Nie ked mumuba, not very nice!","nie̯ ked ˈmumuba, nat ˈvewi ˈnais!"
jibu_laughs,Jibu,Heheheh!,ˈheheheh!,Heheheh,ˈheheheh,Ba-ba heheheh!,ˈbaba ˈheheheh!,Godetum! Heheh!,ˈɡodetum! ˈheheh!,"A-a, heheh!","ˈaa, ˈheheh!"
jibu_not_cold,Jibu,I don't feel cold.,ˈai dont fil kold.,Nie pilaxi mi ika,nie̯ ˈpilaʃi mi ˈika,Ni pilaxi mi cold!,ni ˈpilaʃi mi kold!,Nie ika no feel,nie̯ ˈika no fil,Ni feel cold no,ni fil kold no
jibu_uhoh,Jibu,Uh-oh.,ˈuhoh.,a-o,ˈao,a-o uh-oh,ˈao ˈuhoh,A-o uh-oh,ˈao ˈuhoh,a-o uh-oh,ˈao ˈuhoh
jibu_yelps_afraid,Jibu,Aieeeee!,ˈei̯iie̯!,a-o,ˈao,A-o! Aieeeee!,ˈao! ˈei̯iie̯!,A-o! Aieeeee!,ˈao! ˈei̯iie̯!,A-a-xa! Aieeeee!,ˈaaʃa! ˈei̯iie̯!
jibu_makes_announcement,Jibu,I've got some bad news.,ˈaiv ɡat sam bad nus.,Buma mi nuda bad.,ˈbuma mi ˈnuda bad.,Buma mi nus bad news!,ˈbuma mi nus bad nus!,Buma mi bad news!,ˈbuma mi bad nus!,Nus bad news!,nus bad nus!
jibu_kado_hurry_up,Jibu,What's wrong? I thought you had everything figured out?,wats won? ˈai tot ˈiu had ˈevwitin ˈfiɡie̯d ˈaut?,Li bok bano? Ga-banada-no e gami ud ga.,li bok ˈbano? ɡabaˈnadano e ˈɡami ud ɡa.,Li bok-no? Mi banada ga-udo everything figured,li ˈbokno? mi ˈbanada ˈɡaudo ˈevwitin ˈfiɡie̯d,Li bok bano? You had all figured!,li bok ˈbano? ˈiu had ol ˈfiɡie̯d!,Li bok-no? You think you have all figured,li ˈbokno? ˈiu tink ˈiu hav ol ˈfiɡie̯d
jibu_kado_figured_out,Jibu,I thought you had everything figured out?,ˈai tot ˈiu had ˈevwitin ˈfiɡie̯d ˈaut?,Ga-no-banada mi ga bumani e-va.,ɡanoˈbanada mi ɡa ˈbumani ˈeva.,Ba-nie banada ni mi ga all figured?,ˈbanie̯ ˈbanada ni mi ɡa ol ˈfiɡie̯d?,"Ba-nad ga, you figure out?","ˈbanad ɡa, ˈiu ˈfiɡie̯ ˈaut?",Gami da ud you have all figured?,ˈɡami da ud ˈiu hav ol ˈfiɡie̯d?
jibu_whats_wrong,Jibu,What's wrong?,wats won?,Li bok-no?,li ˈbokno?,Li bok-no broken?,li ˈbokno ˈbwokan?,Li broken?,li ˈbwokan?,Li bok broken?,li bok ˈbwokan?
jibu_frustration,Jibu,Get out of my face!,ɡet ˈaut av ˈmai fei̯s!,Ba ba nie mi wabad!,ba ba nie̯ mi ˈwabad!,Ba ba nie mi face!,ba ba nie̯ mi fei̯s!,Ba ba nie! Get out!,ba ba nie̯! ɡet ˈaut!,Ba ba get out my face!,ba ba ɡet ˈaut ˈmai fei̯s!
jibu_blames_kado,Jibu,I saw what you did!,ˈai so wat ˈiu did!,Xina-no mi ga-no e ipo!,ˈʃinano mi ˈɡano e ˈipo!,Xina-no mi ga-no did!,ˈʃinano mi ˈɡano did!,Mi ga-no did!,mi ˈɡano did!,Xina-no you did!,ˈʃinano ˈiu did!
jibu_kado_no_no,Jibu,You did a no-no!,ˈiu did a ˈnono!,Ga-no mi ga-ni!,ˈɡano mi ˈɡani!,E-ga-no no-no!,ˈeɡano ˈnono!,E-ga-no no-no!,ˈeɡano ˈnono!,Nie ba la no-no!,nie̯ ba la ˈnono!
jibu_bickering_kado,Jibu,You mean!,ˈiu min!,E gode!,e ˈɡode!,E gode! mean!,e ˈɡode! min!,E gode! mean!,e ˈɡode! min!,E good mean!,e ɡud min!
jibu_bickering_response_kado,Jibu,You leave me alone!,ˈiu liv mi ˈalon!,E-va ba ba mi!,ˈeva ba ba mi!,E-va ba ba me alone!,ˈeva ba ba mi ˈalon!,E-va ba fa me leave!,ˈeva ba fa mi liv!,E-va go away me,ˈeva ɡo ˈawei̯ mi
jibu_looks_to_vilo_approval,Jibu,That good?,dat ɡud?,Ked-ba ixena?,ˈkedba ˈiʃena?,Ked-ba good?,ˈkedba ɡud?,Good? Ked-ba?,ɡud? ˈkedba?,Ked-ba good?,ˈkedba ɡud?
jibu_late_to_work,Jibu,Why you so late to work?,ˈwai ˈiu so lei̯t tu wek?,Li e keto bo a bexa?,li e ˈketo bo a ˈbeʃa?,Li bana ipo e late!,li ˈbana ˈipo e lei̯t!,"Li bana, why you late?","li ˈbana, ˈwai ˈiu lei̯t?",Li banada you late work?,li ˈbanada ˈiu lei̯t wek?
jibu_questions_vilo,Jibu,What else to do?,wat els tu du?,Li ga ipo?,li ɡa ˈipo?,Li ga what?,li ɡa wat?,Li ga what else?,li ɡa wat els?,Li what else do?,li wat els du?
jibu_complains_to_kado,Jibu,Bad day.,bad dei̯.,da bed bad,da bed bad,Da bed bad day!,da bed bad dei̯!,Bana bad.,ˈbana bad.,Da bed bad day!,da bed bad dei̯!
jibu_celebration,Jibu,Woohoo!,ˈwuhu!,Wu-hu!,ˈwuhu!,Wu-hu! yay!,ˈwuhu! ˈie̯i!,Wu-hu! Woohoo!,ˈwuhu! ˈwuhu!,Wu-hu! Woohoo!,ˈwuhu! ˈwuhu!
jibu_system_all_fixed,Jibu,All fixed!,ol fikst!,Mogaxi!,ˈmoɡaʃi!,Mogaxi all,ˈmoɡaʃi ol,Mogaxi! Fixed!,ˈmoɡaʃi! fikst!,Moga all fixed!,ˈmoɡa ol fikst!
jibu_repaired_display_1,Jibu,Heyyyyyyy!,hei̯iiiˈiii!,Hei!,hei̯!,Hei! Hey!,hei̯! hei̯!,Hei! Heyyyyyyy!,hei̯! hei̯iiiˈiii!,Hei! Hey!,hei̯! hei̯!
jibu_relief_exhausted_slump,Jibu,I need vacation.,ˈai nid ˈvei̯kei̯ʃan.,Migaba mi ka bexani,ˈmiɡaba mi ka ˈbeʃani,Migaba mi vacation!,ˈmiɡaba mi ˈvei̯kei̯ʃan!,Migaba mi vacation,ˈmiɡaba mi ˈvei̯kei̯ʃan,Migaba me vacation need,ˈmiɡaba mi ˈvei̯kei̯ʃan nid
jibu_vilo_office_talk,Jibu,Batuu weather is poodoo.,ˈbatuu ˈwede is ˈpudu.,Ked da weta Batuu ni-ixena.,ked da ˈweta ˈbatuu niˈiʃena.,Ked timad da Batuu poodoo,ked ˈtimad da ˈbatuu ˈpudu,Poodoo! Ked muba.,ˈpudu! ked ˈmuba.,Mica weather poodoo!,ˈmaika ˈwede ˈpudu!
jibu_locks_eyes_kado,Jibu,No time for jokes!,no ˈtaim ˈfoo dʒoks!,Nie bed a la pokta!,nie̯ bed a la ˈpokta!,Nie ba lali jokes!,nie̯ ba ˈlali dʒoks!,Bana-nie no! No jokes!,ˈbananie̯ no! no dʒoks!,Nie ba no time!,nie̯ ba no ˈtaim!
jibu_sneeze,Jibu,Ah-choo!,ˈahtʃu!,Besu!,ˈbesu!,Apóa! Ah-choo!,ˈapa! ˈahtʃu!,A-o! Achoo!,ˈao! ˈatʃu!,"Hei, Achoo!","hei̯, ˈatʃu!"
jibu_quota_we_can_do_it,Jibu,We can do it!,wi kan du it!,Ba ga gami mi ipo,ba ɡa ˈɡami mi ˈipo,Ga-gami mi can do!,ˈɡaɡami mi kan du!,Ga-medipo meded! We can!,ɡaˈmedipo ˈmeded! wi kan!,Gami we can do!,ˈɡami wi kan du!
jibu_speeder_say_more,Jibu,Say more!,sei̯ ˈmoo!,La ud!,la ud!,La-bo more!,ˈlabo ˈmoo!,La bano! More!,la ˈbano! ˈmoo!,La-mo say more!,ˈlamo sei̯ ˈmoo!
jibu_hutt_droid_done,Jibu,All done! All fixie!,ol dan! ol ˈfiksie̯!,Ga-d! Mogaxi-d!,ɡa.d! ˈmoɡaʃid!,Ga-no dabo fixie!,ˈɡano ˈdabo ˈfiksie̯!,Ga-ded! All fixie!,ˈɡaded! ol ˈfiksie̯!,Mogaxi! All done! Fixie!,ˈmoɡaʃi! ol dan! ˈfiksie̯!
jibu_protocol_droid_busy,Jibu,Not yet! Busy busy!,nat ie̯t! ˈbisi ˈbisi!,Nie-mo! Bexa bexa!,ˈnie̯mo! ˈbeʃa ˈbeʃa!,Nie-mo! Busy busy!,ˈnie̯mo! ˈbisi ˈbisi!,Nie-mo! Busy busy!,ˈnie̯mo! ˈbisi ˈbisi!,Nie-mo! Busy busy!,ˈnie̯mo! ˈbisi ˈbisi!
jibu_oga_cantina_mess_v2,Jibu,Cantina very messy. Oga not happy.,ˈkantina ˈvewi ˈmesi. ˈoɡa nat ˈhapi.,Da cantina mumuba boken. Ipo ni ixena.,da ˈkantina ˈmumuba ˈboken. ˈipo ni ˈiʃena.,Da kantina po-d badi. Oga not happy.,da ˈkantina po.d ˈbadi. ˈoɡa nat ˈhapi.,Da kantina bexani Oga not happy,da ˈkantina ˈbeʃani ˈoɡa nat ˈhapi,Ka-ked Oga not happy!,ˈkaked ˈoɡa nat ˈhapi!
jibu_oga_boom_boom,Jibu,Cantina go boom boom.,ˈkantina ɡo bum bum.,Ba bo cantina bo bo,ba bo ˈkantina bo bo,Ga-no da kentina boom,ˈɡano da ˈkentina bum,Ba bo boom boom,ba bo bum bum,Ba kena boom boom!,ba ˈkena bum bum!
